rank,ticker,company,sector,first_fy,last_fy,health_score,rating,Profitability,Growth,Leverage,Cash generation,Efficiency,revenue_latest,net_margin,roe,debt_to_equity,fcf_margin
1,NVDA,NVIDIA Corp.,Technology,2016,2025,89.5,Strong,100.0,100.0,100.0,54.0,91.3,215938.0,0.5560253406070261,0.7633333969089534,0.05383583503398117,0.44770258129648327
2,META,Meta Platforms Inc.,Communication Services,2016,2025,89.5,Strong,89.6,100.0,99.0,95.9,54.2,200966.0,0.3008369574952977,0.2782966539773433,0.27040687156778354,0.2294368201586338
3,GOOGL,Alphabet Inc.,Communication Services,2016,2025,87.5,Strong,93.0,100.0,100.0,68.2,70.9,402836.0,0.3280987796522654,0.3182786895115167,0.11689643962289141,0.18187550268595656
4,MSFT,Microsoft Corp.,Technology,2017,2026,83.6,Strong,91.6,99.3,85.2,80.9,51.1,331839.0,0.4030538905915218,0.30233483352811,0.09108314665666034,0.20186596512164032
5,AAPL,Apple Inc.,Technology,2016,2025,73.3,Healthy,99.8,62.4,44.6,61.4,97.7,416161.0,0.2691506412181824,1.5191298333175105,1.229815686327696,0.23732882225869315
6,MRK,Merck & Co. Inc.,Healthcare,2016,2025,66.5,Healthy,95.5,73.8,63.1,45.3,41.2,65011.0,0.2807832520650351,0.34699463939474584,0.932403147929894,0.19012167171709404
7,AMZN,Amazon.com Inc.,Consumer Discretionary,2016,2025,65.8,Healthy,44.6,100.0,81.7,52.1,52.8,716924.0,0.10833784334183261,0.1889482198679041,0.16638731100920778,0.010733355278941701
8,JNJ,Johnson & Johnson,Healthcare,2016,2025,63.3,Adequate,93.9,41.1,76.9,50.1,41.4,94193.0,0.2845646704107524,0.3287059746885117,0.5081673697635632,0.2091238202414192
9,COST,Costco Wholesale Corp.,Consumer Staples,2016,2025,59.8,Adequate,24.2,76.5,81.4,55.7,73.6,275235.0,0.029425763438516175,0.27770539020710466,0.1984638595528734,0.028473849619416135
10,XOM,Exxon Mobil Corp.,Energy,2016,2025,57.4,Adequate,34.6,68.1,83.7,64.2,36.7,332238.0,0.08681728158729586,0.11120106713546606,0.02390260075717271,0.07106953449033525
11,PG,Procter & Gamble Co.,Consumer Staples,2017,2026,57.0,Adequate,71.9,31.7,60.5,64.7,51.2,87032.0,0.18436896773600514,0.29544659461250944,0.5394671429360535,0.17403943377148634
12,KO,Coca-Cola Co.,Consumer Staples,2016,2025,54.9,Adequate,95.9,42.4,61.5,22.1,37.9,47941.0,0.2733985523873094,0.4074419472162641,0.0017408063663775684,0.11046911829123297
13,TSLA,Tesla Inc.,Consumer Discretionary,2016,2025,54.6,Adequate,11.3,100.0,77.8,63.1,23.7,94827.0,0.04000970187815706,0.04619111971462313,0.09926099078369066,0.06559313275754795
14,ORCL,Oracle Corp.,Technology,2016,2025,49.4,Weak,100.0,52.7,9.9,50.0,12.6,67357.0,0.2536781626260077,0.4019713936200245,3.047449891785076,-0.351648677939932
15,CVX,Chevron Corp.,Energy,2016,2025,48.2,Weak,29.3,54.4,67.2,68.0,19.9,184432.0,0.06668582458575519,0.06596406543309198,0.012577098417806382,0.08996269627830311
16,HD,Home Depot Inc.,Consumer Discretionary,2016,2025,47.0,Weak,53.6,51.6,14.3,40.6,81.9,164683.0,0.08595908503002739,1.1048154218371966,3.8552251619448996,0.07678995403289957
17,PEP,PepsiCo Inc.,Consumer Staples,2016,2025,45.8,Weak,55.0,39.9,20.8,64.0,47.7,93925.0,0.08772957146659568,0.4038028030971283,2.410173478388709,0.08168219323928666
18,WMT,Walmart Inc.,Consumer Staples,2016,2025,45.1,Weak,20.7,44.2,51.9,54.2,65.8,706413.0,0.030991785258765055,0.21977172570946726,0.38312737785719303,0.02112503592091312
19,ABBV,AbbVie Inc.,Healthcare,2016,2025,42.2,Weak,45.6,40.4,4.8,100.0,11.9,61160.0,0.06909744931327665,,,0.29130150425114454
20,PFE,Pfizer Inc.,Healthcare,2016,2025,42.0,Weak,45.1,28.9,42.1,79.0,4.8,62579.0,0.12417903769635182,0.0898630833988621,0.747467505435034,0.14501669889259974
