ticker,company,sector,years,growth_start,terminal_growth,ebitda_margin,capex_pct,nwc_pct,tax_rate,confidence,growth_read,margin_read,fcff_y1,fcff_terminal,fcff_margin,reinvestment
BAJAJ-AUTO,Bajaj Auto,Automobiles,4,0.1949,0.0562,0.2413,0.0171,0.0504,0.2357,low,decelerating,stable,116231.88869038582,172712.27141780945,0.16418824319646735,0.12481204540249609
EICHERMOT,Eicher Motors,Automobiles,4,0.1747,0.09,0.3572,0.053,-0.0578,0.2272,medium,accelerating,expanding,64792.7568468158,98087.41506391272,0.23788291669204514,0.18818968648911066
HEROMOTOCO,Hero MotoCorp,Automobiles,4,0.1172,0.09,0.1677,0.021,-0.0426,0.2636,medium,stable,expanding,59021.31453488052,84951.60351793109,0.11174411732424269,0.1571997779003425
M&M,Mahindra & Mahindra,Automobiles,4,0.175,0.09,0.2113,0.0599,0.2183,0.2625,medium,accelerating,stable,164860.57299729684,304273.60174719896,0.08085920798395063,0.6484338984286615
MARUTI,Maruti Suzuki India,Automobiles,4,0.159,0.0562,0.1625,0.0691,-0.0868,0.229,medium,decelerating,stable,157769.1558023258,197836.12843179976,0.07275633368774623,0.6401735445346067
GRASIM,Grasim Industries,Cement,4,0.143,0.09,0.1469,0.11,0.1377,0.35,low,accelerating,compressing,-34297.3520612775,-33756.067469933696,-0.013919292348371309,1.8066976645770514
SHREECEM,Shree Cement,Cement,4,0.0568,0.0562,0.2499,0.1747,0.0212,0.1706,low,decelerating,expanding,11124.883721935725,13856.462469175469,0.05113849108763047,1.5773815705879028
ULTRACEMCO,UltraTech Cement,Cement,4,0.1192,0.09,0.1895,0.1163,-0.0741,0.2539,medium,stable,stable,44593.4790854929,62342.508906994524,0.04458333432735531,1.0490549490890513
ASIANPAINT,Asian Paints,Consumer Discretionary,4,0.011,0.011,0.2115,0.0481,0.1236,0.2689,medium,stable,stable,40470.53584295383,42280.8370867277,0.11263137287833828,0.36795812413823425
TITAN,Titan Company,Consumer Discretionary,4,0.2712,0.09,0.1059,0.0105,0.3689,0.2591,medium,accelerating,stable,-8699.368804053185,75795.24484297179,0.01902376603564688,0.8884919346551339
ONGC,Oil & Natural Gas Corp,Energy,4,-0.013,-0.013,0.1832,0.0881,-0.0202,0.2758,medium,accelerating,stable,354987.0485764474,336884.56943033094,0.05942122123606891,0.9503026517598009
RELIANCE,Reliance Industries,Energy,4,0.0639,0.0639,0.1927,0.1528,-0.0801,0.2601,low,accelerating,stable,99465.8934603299,127431.68438669236,0.008843179076041,1.4504148339427223
BRITANNIA,Britannia Industries,FMCG,4,0.0566,0.0566,0.1982,0.0274,-0.0207,0.2458,low,accelerating,stable,25423.276389068706,31686.476171356353,0.12759111860306643,0.1933424359687327
DABUR,Dabur India,FMCG,4,0.0451,0.0451,0.2316,0.0452,-0.0107,0.2277,medium,decelerating,stable,19343.121805222836,23075.863300496818,0.14191376528753227,0.29345793327282715
HINDUNILVR,Hindustan Unilever,FMCG,4,0.0231,0.0231,0.2555,0.0212,-0.0857,0.2503,medium,stable,stable,115852.2723836316,126933.68708764289,0.17758968214348547,0.10967555527838976
ITC,ITC,FMCG,4,0.0365,0.0365,0.396,0.0348,0.1339,0.242,low,accelerating,compressing,216387.3294066098,249752.04485616906,0.26692055639170287,0.1408563313783736
HCLTECH,HCL Technologies,IT Services,4,0.0865,0.0865,0.2276,0.0102,0.0704,0.2488,medium,stable,stable,232216.0518526464,323601.9720157395,0.16422465398987574,0.11003862446392784
INFY,Infosys,IT Services,4,0.0344,0.0344,0.2612,0.0148,0.1226,0.274,medium,stable,stable,355641.18806301407,407160.9320713677,0.178727415158546,0.11202771224912544
TCS,Tata Consultancy Services,IT Services,4,0.058,0.058,0.2772,0.0146,0.1168,0.2556,medium,stable,stable,538633.3761086687,674894.566212821,0.1906611354253308,0.11004174159606077
TECHM,Tech Mahindra,IT Services,4,0.0216,0.0216,0.1357,0.0137,0.0846,0.2538,medium,accelerating,stable,54939.43193371177,59842.22071165469,0.09465361642913075,0.20612511629088517
WIPRO,Wipro,IT Services,4,0.0078,0.0078,0.2261,0.0166,0.0627,0.2408,medium,stable,expanding,152175.20788323838,156978.91383055557,0.16302192514387776,0.11782363121363801
LT,Larsen & Toubro,Infrastructure,4,0.1609,0.0562,0.1217,0.019,0.2027,0.2896,low,decelerating,stable,145547.43882192625,281291.54877368483,0.05386650291702004,0.4991452066780984
HINDALCO,Hindalco Industries,Metals,4,0.071,0.071,0.1239,0.0802,0.0771,0.2756,low,accelerating,stable,39366.31935992885,51794.38667277244,0.013481635518207292,1.2927342493790648
JSWSTEEL,JSW Steel,Metals,4,0.0361,0.0361,0.1872,0.0854,0.1486,0.2897,medium,stable,expanding,107272.25438137811,123621.52661920965,0.05687560957050476,0.9294470331130897
TATASTEEL,Tata Steel,Metals,4,-0.0159,-0.0159,0.1149,0.0677,-0.0451,0.35,low,accelerating,expanding,50507.898206761056,47371.40041723999,0.02228632405243371,1.5235149938231394
CIPLA,Cipla,Pharmaceuticals,4,0.0723,0.0562,0.2624,0.055,0.2638,0.2658,low,decelerating,stable,38793.99029122639,50522.76573761894,0.13270013245885512,0.43299887593656117
DIVISLAB,Divi's Laboratories,Pharmaceuticals,4,0.1098,0.09,0.3507,0.1414,0.5679,0.2453,low,accelerating,expanding,9068.830950042731,14622.211926705426,0.08332272800351563,0.8320010710866134
DRREDDY,Dr. Reddy's Laboratories,Pharmaceuticals,4,0.1096,0.0562,0.2831,0.102,0.3103,0.2393,low,decelerating,compressing,35537.931285699146,53727.32068965952,0.10338140225831889,0.7112755845047826
SUNPHARMA,Sun Pharmaceutical,Pharmaceuticals,4,0.1039,0.09,0.3083,0.0471,0.1998,0.1665,medium,stable,expanding,128358.85845446424,185930.1135084125,0.2010431383240463,0.3023175856874839
BHARTIARTL,Bharti Airtel,Telecom,4,0.1488,0.09,0.5301,0.2254,-0.5785,0.3185,medium,accelerating,expanding,713602.4916366083,970962.8225164458,0.2789910998966328,0.9100878359493816
NTPC,NTPC,Utilities,4,0.0187,0.0187,0.3239,0.1982,0.1539,0.2534,low,stable,expanding,122936.05130346234,132392.83563582614,0.06558115938156475,1.1908628306701141
POWERGRID,Power Grid Corp,Utilities,4,0.0057,0.0057,0.9175,0.4029,0.0651,0.1439,low,stable,stable,191155.512189278,195551.26352717463,0.42459572311126587,0.7562266440118774
